comparison	workflow_id	structural_status
server-production-vs-old-workflows	CDST_AIHumanHandoff_v1	identical
server-production-vs-old-workflows	CDST_AIWorkCompleted_v1	identical
server-production-vs-old-workflows	CDST_AIWorkRequested_v1	identical
server-production-vs-old-workflows	CDST_AgentNoShow_v1	identical
server-production-vs-old-workflows	CDST_Appointment1HourReminder_v1	identical
server-production-vs-old-workflows	CDST_Appointment24HourReminder_v1	identical
server-production-vs-old-workflows	CDST_AppointmentCreated_v1	identical
server-production-vs-old-workflows	CDST_CallbackDue_v1	identical
server-production-vs-old-workflows	CDST_CallbackOverdue_v1	identical
server-production-vs-old-workflows	CDST_CampaignRouter_v2	identical
server-production-vs-old-workflows	CDST_CompleteExecution_v2	identical
server-production-vs-old-workflows	CDST_CustomerNoShow_v1	identical
server-production-vs-old-workflows	CDST_DailyAdminReport_v1	identical
server-production-vs-old-workflows	CDST_DailyAgentReport_v1	identical
server-production-vs-old-workflows	CDST_DailyCampaignReport_v1	identical
server-production-vs-old-workflows	CDST_DailySupervisorReport_v1	identical
server-production-vs-old-workflows	CDST_DeadLetterRecovery_v1	identical
server-production-vs-old-workflows	CDST_DocumentMissing_v1	identical
server-production-vs-old-workflows	CDST_DocumentReceived_v1	identical
server-production-vs-old-workflows	CDST_DocumentRequested_v1	identical
server-production-vs-old-workflows	CDST_EmailReplyReceived_v1	identical
server-production-vs-old-workflows	CDST_EmailSend_v1	different
server-production-vs-old-workflows	CDST_ErrorHandler_v1	identical
server-production-vs-old-workflows	CDST_EventRouter_v2	identical
server-production-vs-old-workflows	CDST_FollowupDue_v1	identical
server-production-vs-old-workflows	CDST_FollowupOverdue_v1	identical
server-production-vs-old-workflows	CDST_LeadAssignment_v1	identical
server-production-vs-old-workflows	CDST_ManagerEscalation_v1	identical
server-production-vs-old-workflows	CDST_NextActionCreated_v1	identical
server-production-vs-old-workflows	CDST_NoActivity_v1	identical
server-production-vs-old-workflows	CDST_SMSAuthorizedSend_v1	identical
server-production-vs-old-workflows	CDST_SMSReplyReceived_v1	identical
server-production-vs-old-workflows	CDST_SupervisorEscalation_v1	identical
server-production-vs-old-workflows	codestra_contract_sent	identical
server-production-vs-old-workflows	codestra_deposit_received	identical
server-production-vs-old-workflows	codestra_discovery_completed	identical
server-production-vs-old-workflows	codestra_discovery_scheduled	identical
server-production-vs-old-workflows	codestra_project_handoff	identical
server-production-vs-old-workflows	codestra_proposal_overdue	identical
server-production-vs-old-workflows	codestra_proposal_sent	identical
server-production-vs-old-workflows	codestra_retainer_followup	identical
server-production-vs-old-workflows	codestra_technical_review	identical
server-production-vs-old-workflows	moneybee_additional_info	identical
server-production-vs-old-workflows	moneybee_application_started	identical
server-production-vs-old-workflows	moneybee_documents_overdue	identical
server-production-vs-old-workflows	moneybee_documents_partial	identical
server-production-vs-old-workflows	moneybee_documents_requested	identical
server-production-vs-old-workflows	moneybee_funding_followup	identical
server-production-vs-old-workflows	moneybee_offer_sent	identical
server-production-vs-old-workflows	moneybee_post_funding	identical
server-production-vs-old-workflows	moneybee_prequalified	identical
server-production-vs-old-workflows	moneybee_renewal	identical
server-production-vs-old-workflows	moneybee_underwriting_followup	identical
server-production-vs-old-workflows	senior_delivery_followup	identical
server-production-vs-old-workflows	senior_payment_confirmed	identical
server-production-vs-old-workflows	senior_payment_pending	identical
server-production-vs-old-workflows	senior_product_selected	identical
server-production-vs-old-workflows	senior_reorder_due	identical
server-production-vs-old-workflows	senior_shipped	identical
server-production-vs-old-workflows	senior_support	identical
server-production-vs-old-workflows	student_additional_info	identical
server-production-vs-old-workflows	student_counselor_appointment	identical
server-production-vs-old-workflows	student_documents_missing	identical
server-production-vs-old-workflows	student_documents_requested	identical
server-production-vs-old-workflows	student_eligibility_review	identical
server-production-vs-old-workflows	student_enrollment_followup	identical
server-production-vs-old-workflows	student_response_followup	identical
server-production-vs-old-workflows	student_submission	identical
server-production-vs-old-workflows	transportation_carrier_packet	identical
server-production-vs-old-workflows	transportation_delivery_followup	identical
server-production-vs-old-workflows	transportation_load_booked	identical
server-production-vs-old-workflows	transportation_pickup_reminder	identical
server-production-vs-old-workflows	transportation_quote_requested	identical
server-production-vs-old-workflows	transportation_quote_sent_followup	identical
server-production-vs-old-workflows	transportation_repeat_load	identical
server-production-vs-new-all-branches-workflows	CdstWF0000	identical
server-production-vs-new-all-branches-workflows	CdstWF1001	identical
server-production-vs-new-all-branches-workflows	CdstWF2002	identical
server-production-vs-new-all-branches-workflows	CdstWF3003	identical
server-production-vs-new-all-branches-workflows	CdstWF4004	identical
server-production-vs-new-all-branches-workflows	CdstWF5005	identical
server-production-vs-new-all-branches-workflows	CdstWF6006	identical
server-production-vs-new-all-branches-workflows	CdstWF7007	identical
server-production-vs-new-all-branches-workflows	CdstWF9008	identical
server-staging-vs-old-workflows	CDST_AIHumanHandoff_v1	different
server-staging-vs-old-workflows	CDST_AIWorkCompleted_v1	different
server-staging-vs-old-workflows	CDST_AIWorkRequested_v1	different
server-staging-vs-old-workflows	CDST_AgentNoShow_v1	different
server-staging-vs-old-workflows	CDST_Appointment1HourReminder_v1	different
server-staging-vs-old-workflows	CDST_Appointment24HourReminder_v1	different
server-staging-vs-old-workflows	CDST_AppointmentCreated_v1	different
server-staging-vs-old-workflows	CDST_CallbackDue_v1	different
server-staging-vs-old-workflows	CDST_CallbackOverdue_v1	different
server-staging-vs-old-workflows	CDST_CampaignRouter_v2	different
server-staging-vs-old-workflows	CDST_CompleteExecution_v2	different
server-staging-vs-old-workflows	CDST_CustomerNoShow_v1	different
server-staging-vs-old-workflows	CDST_DailyAdminReport_v1	different
server-staging-vs-old-workflows	CDST_DailyAgentReport_v1	different
server-staging-vs-old-workflows	CDST_DailyCampaignReport_v1	different
server-staging-vs-old-workflows	CDST_DailySupervisorReport_v1	different
server-staging-vs-old-workflows	CDST_DeadLetterRecovery_v1	different
server-staging-vs-old-workflows	CDST_DocumentMissing_v1	different
server-staging-vs-old-workflows	CDST_DocumentReceived_v1	different
server-staging-vs-old-workflows	CDST_DocumentRequested_v1	different
server-staging-vs-old-workflows	CDST_EmailReplyReceived_v1	different
server-staging-vs-old-workflows	CDST_EmailSend_v1	different
server-staging-vs-old-workflows	CDST_ErrorHandler_v1	different
server-staging-vs-old-workflows	CDST_EventRouter_v2	different
server-staging-vs-old-workflows	CDST_FollowupDue_v1	different
server-staging-vs-old-workflows	CDST_FollowupOverdue_v1	different
server-staging-vs-old-workflows	CDST_LeadAssignment_v1	different
server-staging-vs-old-workflows	CDST_ManagerEscalation_v1	different
server-staging-vs-old-workflows	CDST_NextActionCreated_v1	different
server-staging-vs-old-workflows	CDST_NoActivity_v1	different
server-staging-vs-old-workflows	CDST_SMSAuthorizedSend_v1	different
server-staging-vs-old-workflows	CDST_SMSReplyReceived_v1	different
server-staging-vs-old-workflows	CDST_SupervisorEscalation_v1	different
server-staging-vs-old-workflows	CdstAutomationRouterV1	identical
server-staging-vs-old-workflows	CdstCallCompletedV1	identical
server-staging-vs-old-workflows	CdstCallbackDueV1	identical
server-staging-vs-old-workflows	CdstCompleteExecutionV1	different
server-staging-vs-old-workflows	CdstDailyOperationsDigestV1	identical
server-staging-vs-old-workflows	CdstErrorDeadLetterV1	identical
server-staging-vs-old-workflows	CdstFailExecutionV1	identical
server-staging-vs-old-workflows	CdstFetchContextV1	identical
server-staging-vs-old-workflows	CdstHotLeadAlertV1	identical
server-staging-vs-old-workflows	CdstLeadEnrichmentV1	identical
server-staging-vs-old-workflows	CdstStartExecutionV1	different
server-staging-vs-old-workflows	CdstVerifyEventV1	different
server-staging-vs-old-workflows	codestra_contract_sent	different
server-staging-vs-old-workflows	codestra_deposit_received	different
server-staging-vs-old-workflows	codestra_discovery_completed	different
server-staging-vs-old-workflows	codestra_discovery_scheduled	different
server-staging-vs-old-workflows	codestra_project_handoff	different
server-staging-vs-old-workflows	codestra_proposal_overdue	different
server-staging-vs-old-workflows	codestra_proposal_sent	different
server-staging-vs-old-workflows	codestra_retainer_followup	different
server-staging-vs-old-workflows	codestra_technical_review	different
server-staging-vs-old-workflows	moneybee_additional_info	different
server-staging-vs-old-workflows	moneybee_application_started	different
server-staging-vs-old-workflows	moneybee_documents_overdue	different
server-staging-vs-old-workflows	moneybee_documents_partial	different
server-staging-vs-old-workflows	moneybee_documents_requested	different
server-staging-vs-old-workflows	moneybee_funding_followup	different
server-staging-vs-old-workflows	moneybee_offer_sent	different
server-staging-vs-old-workflows	moneybee_post_funding	different
server-staging-vs-old-workflows	moneybee_prequalified	different
server-staging-vs-old-workflows	moneybee_renewal	different
server-staging-vs-old-workflows	moneybee_underwriting_followup	different
server-staging-vs-old-workflows	senior_delivery_followup	different
server-staging-vs-old-workflows	senior_payment_confirmed	different
server-staging-vs-old-workflows	senior_payment_pending	different
server-staging-vs-old-workflows	senior_product_selected	different
server-staging-vs-old-workflows	senior_reorder_due	different
server-staging-vs-old-workflows	senior_shipped	different
server-staging-vs-old-workflows	senior_support	different
server-staging-vs-old-workflows	student_additional_info	different
server-staging-vs-old-workflows	student_counselor_appointment	different
server-staging-vs-old-workflows	student_documents_missing	different
server-staging-vs-old-workflows	student_documents_requested	different
server-staging-vs-old-workflows	student_eligibility_review	different
server-staging-vs-old-workflows	student_enrollment_followup	different
server-staging-vs-old-workflows	student_response_followup	different
server-staging-vs-old-workflows	student_submission	different
server-staging-vs-old-workflows	transportation_carrier_packet	different
server-staging-vs-old-workflows	transportation_delivery_followup	different
server-staging-vs-old-workflows	transportation_load_booked	different
server-staging-vs-old-workflows	transportation_pickup_reminder	different
server-staging-vs-old-workflows	transportation_quote_requested	different
server-staging-vs-old-workflows	transportation_quote_sent_followup	different
server-staging-vs-old-workflows	transportation_repeat_load	different
server-staging-vs-new-all-branches-workflows	CdstAutomationRouterV1	different
server-staging-vs-new-all-branches-workflows	CdstCallCompletedV1	different
server-staging-vs-new-all-branches-workflows	CdstCallbackDueV1	different
server-staging-vs-new-all-branches-workflows	CdstCompleteExecutionV1	different
server-staging-vs-new-all-branches-workflows	CdstDailyOperationsDigestV1	different
server-staging-vs-new-all-branches-workflows	CdstErrorDeadLetterV1	different
server-staging-vs-new-all-branches-workflows	CdstFailExecutionV1	different
server-staging-vs-new-all-branches-workflows	CdstFetchContextV1	different
server-staging-vs-new-all-branches-workflows	CdstHotLeadAlertV1	different
server-staging-vs-new-all-branches-workflows	CdstLeadEnrichmentV1	different
server-staging-vs-new-all-branches-workflows	CdstStartExecutionV1	different
server-staging-vs-new-all-branches-workflows	CdstVerifyEventV1	different
